siren,date_cloture_exercice,ca,resultat_net,type_bilan,annee_cloture_exercice
388580722,2021-03-31,1633110.0,58967.0,C,2020
388580722,2020-03-31,2273203.0,74832.0,C,2019
388580722,2019-03-31,1377944.0,27062.0,C,2018
388673071,2023-09-30,30437365.0,1174466.0,C,2023
388673071,2022-09-30,31764524.0,1183232.0,C,2022
388673071,2021-09-30,21133620.0,601124.0,C,2021
388673071,2020-09-30,23516837.0,486815.0,C,2020
388673071,2019-09-30,22050789.0,342322.0,C,2019
388698201,2023-03-31,6838988399.0,976374.0,C,2022
388698201,2022-03-31,6321360369.0,6268375.0,C,2021
388698201,2021-03-31,5759356793.0,-15297252.0,C,2020
388698201,2020-03-31,5862848918.0,-8974838.0,C,2019
388698201,2019-03-31,5656135574.0,-2749425.0,C,2018
388734568,2022-12-31,862645595.0,8453179.0,C,2022
388734568,2021-12-31,658754971.0,4390783.0,C,2021
388734568,2020-12-31,708621794.0,5515885.0,C,2020
388734568,2019-12-31,679817689.0,5842663.0,C,2019
388779407,2022-12-31,83278260.0,2426282.0,C,2022
388779407,2021-12-31,82386575.0,3009681.0,C,2021
388779407,2020-12-31,69713477.0,1468251.0,C,2020
388779407,2019-12-31,75328280.0,2431356.0,C,2019
388784928,2022-12-31,82215743.0,1146485.0,C,2022
388784928,2021-12-31,77489536.0,2150986.0,C,2021
388784928,2020-12-31,71898730.0,1550825.0,C,2020
388784928,2019-12-31,83551698.0,2967922.0,C,2019
388866212,2022-12-31,140434195.0,7136610.0,C,2022
388866212,2021-12-31,127238097.0,8250984.0,C,2021
388866212,2020-12-31,130708865.0,-2337653.0,C,2020
388866212,2019-12-31,160605143.0,10805964.0,C,2019
388908915,2022-12-31,13705991.0,98948.0,C,2022
388908915,2021-12-31,11495979.0,-142367.0,C,2021
388908915,2019-12-31,10121870.0,275441.0,C,2019
388989964,2022-03-31,25149987.0,3457077.0,C,2021
388989964,2021-03-31,22279419.0,2904832.0,C,2020
388989964,2020-03-31,21208455.0,2109833.0,C,2019
388989964,2019-03-31,19002784.0,1059647.0,C,2018
389191800,2022-12-31,595217643.0,-92199468.0,C,2022
389191800,2021-12-31,585667858.0,-90553178.0,C,2021
389191800,2020-12-31,645777269.0,-46489734.0,C,2020
389191800,2019-12-31,674526796.0,-40126671.0,C,2019
389191982,2023-03-31,3730800000.0,209900000.0,C,2022
389191982,2022-03-31,3233000000.0,22000000.0,C,2021
389191982,2021-03-31,3537100000.0,-43700000.0,C,2020
389191982,2020-03-31,4046000000.0,164000000.0,C,2019
389191982,2019-03-31,2981000000.0,-225000000.0,C,2018
389192030,2022-12-31,515194793.0,-82016685.0,C,2022
389192030,2021-12-31,445362155.0,-257971980.0,C,2021
389192030,2020-12-31,452990554.0,-28118657.0,C,2020
389192030,2019-12-31,392660543.0,-9839456.0,C,2019
389205147,2021-03-31,56851893.0,2112476.0,C,2020
389205147,2020-03-31,59732708.0,1536989.0,C,2019
389205147,2019-03-31,58741765.0,1714576.0,C,2018
389435215,2022-12-31,353975475.0,7795050.0,C,2022
389435215,2021-12-31,290891707.0,6543956.0,C,2021
389435215,2020-12-31,225483720.0,9494996.0,C,2020
389435215,2019-12-31,181480820.0,3503755.0,C,2019
389470303,2021-09-24,61636392.0,-10694920.0,C,2021
389470303,2020-09-25,103693801.0,3605960.0,C,2020
389470303,2019-09-27,118782289.0,5306415.0,C,2019
389488719,2021-12-31,128391351.0,9424596.0,C,2021
389488719,2020-12-31,105177236.0,6352416.0,C,2020
389488719,2019-12-31,116930284.0,5733960.0,C,2019
389534256,2022-12-31,1144204197.0,25058875.0,C,2022
389534256,2021-12-31,946723238.0,4596742.0,C,2021
389534256,2020-12-31,692355905.0,-89139650.0,C,2020
389534256,2019-12-31,568884781.0,4351440.0,C,2019
389612383,2022-12-31,197225284.0,-22.0,C,2022
389612383,2021-12-31,199922887.0,-1479735.0,C,2021
389612383,2020-12-31,189061680.0,-19417372.0,C,2020
389612383,2019-12-31,267353674.0,-23041668.0,C,2019
389632639,2022-12-31,170432515.0,677583.0,C,2022
389632639,2021-12-31,173519893.0,5469871.0,C,2021
389632639,2020-12-31,160829331.0,-902155.0,C,2020
389632639,2019-12-31,171823613.0,-785951.0,C,2019
389652553,2022-12-31,279132486.0,5456870.0,C,2022
389652553,2021-12-31,274754454.0,8815946.0,C,2021
389652553,2020-12-31,254235786.0,8811031.0,C,2020
389652553,2019-12-31,264409298.0,6689597.0,C,2019
389671165,2022-12-31,56969110.0,2039451.0,C,2022
389671165,2021-12-31,58322046.0,2131871.0,C,2021
389671165,2020-12-31,42114884.0,1090499.0,C,2020
389671165,2019-12-31,43653987.0,1268286.0,C,2019
